LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,117,225,468944645166985216,3,5880,Parris,Campbell,IND,WR,Injured Reserve,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,118,226,69768813763510272,8,2319,DeVante,Parker,MIA,WR,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,119,227,594242128851296256,10,5967,Tony,Pollard,DAL,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,10,120,228,347683464398749696,9,4950,Christian,Kirk,ARI,WR,Reserve/COVID-19,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,121,241,347683464398749696,9,2251,Logan,Thomas,WAS,TE,Active,6
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,122,242,594242128851296256,10,6943,Gabriel,Davis,BUF,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,123,243,69768813763510272,8,5038,Michael,Gallup,DAL,WR,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,124,244,468944645166985216,3,6870,Bryan,Edwards,LV,WR,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,125,245,474662041341128704,5,4187,Brian,Hill,ATL,RB,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,126,246,601198801197260800,2,PIT,Pittsburgh,Steelers,PIT,DEF,,
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,127,247,635700695584043008,7,6804,Jordan,Love,GB,QB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,128,248,571753677428977664,1,5119,Jason,Sanders,MIA,K,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,129,249,331558449374593024,6,6149,Darius,Slayton,NYG,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,130,250,594242128851296256,10,6805,K.J.,Hamler,DEN,WR,Injured Reserve,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,131,251,474662041341128704,5,5284,Jeffery,Wilson,SF,RB,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,11,132,252,638193564806897664,11,7042,Tyler,Bass,BUF,K,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,133,265,638193564806897664,11,2410,Jamison,Crowder,NYJ,WR,Active,5
