player_id,first_name,last_name,position,status,team
12548,Lenny,Krieg,K,Active,ATL
7039,Cody,White,WR,Active,SEA
2749,Raheem,Mostert,RB,Active,LV
8112,Drake,London,WR,Active,ATL
11632,Malik,Nabers,WR,Inactive,NYG
4177,Mack,Hollins,WR,Active,NE
12757,Hal,Presley,WR,Active,TEN
12983,Brock,Lampe,FB,Inactive,NE
5848,Marquise,Brown,WR,Active,KC
3832,C.J.,Ham,FB,Active,MIN
11371,Julian,Hill,TE,Active,MIA
6598,Trenton,Irwin,WR,Active,NYJ
12715,Thomas,Fidone,TE,Active,NYG
10857,Stetson,Bennett,QB,Active,LAR
9229,Anthony,Richardson,QB,Inactive,IND
6770,Joe,Burrow,QB,Inactive,CIN
11624,Xavier,Worthy,WR,Active,KC
11994,Kameron,Johnson,WR,Active,TB
10227,Payne,Durham,TE,Active,TB
10214,Davis,Allen,TE,Active,LAR
4179,Joshua,Dobbs,QB,Active,NE
10866,Aidan,O'Connell,QB,Inactive,LV
6037,Brett,Rypien,QB,Active,IND
12499,Elic,Ayomanor,WR,Active,TEN
13013,Mark,Redman,TE,Active,LAR
11201,Blake,Whiteheart,TE,Active,CLE
11299,Zavier,Scott,RB,Active,MIN
9221,Jahmyr,Gibbs,RB,Active,DET
6895,Quintez,Cephus,WR,Active,HOU
3163,Jared,Goff,QB,Active,DET
4039,Cooper,Kupp,WR,Active,SEA
7610,Trey,Lance,QB,Active,LAC
12483,Jack,Bech,WR,Active,LV
NO,New Orleans,Saints,DEF,,NO
7568,Brevin,Jordan,TE,Inactive,HOU
5985,Foster,Moreau,TE,Active,NO
GB,Green Bay,Packers,DEF,,GB
7989,DJ,Turner,WR,Active,LV
3702,Andy,Jones,WR,Inactive,NYG
10234,Derius,Davis,WR,Active,LAC
7531,Feleipe,Franks,TE,Active,ATL
11786,Cam,Little,K,Active,JAX
8148,Jameson,Williams,WR,Active,DET
10444,Cedric,Tillman,WR,Inactive,CLE
7090,Darnell,Mooney,WR,Active,ATL
6677,Joe,Forson,WR,Practice Squad,KC
7612,Dee,Eskridge,WR,Active,MIA
4217,George,Kittle,TE,Active,SF
12480,Moliki,Matavao,TE,Active,NO
7529,Gary,Brightwell,RB,Active,CIN
11628,Marvin,Harrison,WR,Active,ARI
4353,Patrick,Ricard,FB,Active,BAL
10210,Cameron,Latu,TE,Active,PHI
2306,Jameis,Winston,QB,Active,NYG
4924,Zach,Terrell,QB,Active,BAL
1479,Keenan,Allen,WR,Active,LAC
3258,Nick,Vannett,TE,Active,MIN
4381,Taysom,Hill,TE,Active,NO
12477,Kurtis,Rourke,QB,Active,SF
7204,Reggie,Gilliam,RB,Active,BUF
6167,Jordan,Scarlett,RB,Inactive,MIA
11595,Jared,Wiley,TE,Active,KC
12531,Trevor,Etienne,RB,Active,CAR
6963,Patrick,Taylor,RB,Inactive,SF
12539,Arian,Smith,WR,Active,NYJ
7357,Dan,Chisena,WR,Active,CAR
6843,Albert,Okwuegbunam,TE,Active,LV
6147,Clayton,Thorson,QB,Active,NYG
7087,Jonathan,Ward,RB,Active,NE
12969,Lan,Larison,RB,Inactive,NE
8423,Brittain,Brown,RB,Active,CHI
11653,Charlie,Smyth,K,Active,NO
8183,Brock,Purdy,QB,Active,SF
1234,Russell,Wilson,QB,Active,NYG
12541,Dont'e,Thornton,WR,Active,LV
12732,Dominic,Lovett,WR,Active,DET
7891,Brock,Wright,TE,Active,DET
11593,Brevyn,Spann-Ford,TE,Active,DAL
12512,Quinshon,Judkins,RB,Active,CLE
12634,Jordan,Watkins,WR,Active,SF
13124,Jeremiah,Webb,WR,Active,NE
7565,Terrace,Marshall,WR,Active,PHI
11257,Shedrick,Jackson,WR,Active,LV
7103,Tavien,Feaster,RB,Active,ARI
4930,Franko,House,TE,Active,CHI
6144,Trayveon,Williams,RB,Active,LAC
8181,Connor,Heyward,TE,Active,PIT
8151,Kenneth,Walker,RB,Active,SEA
10236,Dalton,Kincaid,TE,Active,BUF
12383,John,Jiles,WR,Active,NE
12062,Cam,Grandy,TE,Active,CIN
7547,Amon-Ra,St. Brown,WR,Active,DET
8413,Chris,Oladokun,QB,Active,KC
11474,Dylan,Drummond,WR,Active,ATL
12829,Coleman,Owen,WR,Active,IND
12773,DJ,Uiagalelei,QB,Active,LAC
12718,Konata,Mumpfield,WR,Active,LAR
9481,Luke,Musgrave,TE,Active,GB
12939,Anthony,Tyus,RB,Active,CAR
8129,Dameon,Pierce,RB,Active,HOU
11581,MarShawn,Lloyd,RB,Inactive,GB
5032,Jordan,Akins,TE,Active,JAX
4080,Zay,Jones,WR,Active,ARI
4147,Samaje,Perine,RB,Active,CIN
12538,Brady,Cook,QB,Active,NYJ
7720,Kene,Nwangwu,RB,Active,NYJ
12536,Jaylin,Noel,WR,Active,HOU
10223,Eric,Gray,RB,Active,NYG
7597,Kenny,Yeboah,TE,Inactive,DET
12492,Pat,Bryant,WR,Active,DEN
6826,Cole,Kmet,TE,Active,CHI
12526,Tetairoa,McMillan,WR,Active,CAR
11058,Blake,Grupe,K,Active,NO
11210,Malik,Heath,WR,Active,GB
8089,Sal,Cannella,TE,Active,CLE
111,Marcedes,Lewis,TE,Active,DEN
13003,Tru,Edwards,WR,Active,LAR
13121,Ben,Yurosek,TE,Active,MIN
6943,Gabe,Davis,WR,Active,BUF
3678,Wil,Lutz,K,Active,DEN
1984,Allen,Hurns,WR,Active,MIA
11802,Tejhaun,Palmer,WR,Active,ARI
11563,Bo,Nix,QB,Active,DEN
2449,Stefon,Diggs,WR,Active,NE
7567,Kenneth,Gainwell,RB,Active,PIT
6540,DeAndre,Thompkins,WR,Inactive,GB
7543,Travis,Etienne,RB,Active,JAX
6001,Drew,Sample,TE,Active,CIN
7757,Ben,Skowronek,WR,Active,PIT
8583,Stone,Smartt,TE,Active,NYJ
6109,Alec,Ingold,FB,Active,MIA
11260,Robert,Burns,FB,Active,CHI
12984,CJ,Dippre,TE,Active,NE
9508,Tyjae,Spears,RB,Active,TEN
11570,Rasheen,Ali,RB,Active,BAL
12534,Kyle,Monangai,RB,Active,CHI
8195,Ronnie,Rivers,RB,Active,LAR
4218,Trent,Taylor,WR,Inactive,SF
1642,Levine,Toilolo,TE,Inactive,NYG
8849,Tanner,Conner,TE,Active,MIA
2152,Teddy,Bridgewater,QB,Active,TB
5189,Eddy,Pineiro,K,Active,SF
13101,Gage,Larvadain,WR,Active,CLE
11631,Brian,Thomas,WR,Active,JAX
5892,David,Montgomery,RB,Active,DET
13162,Maximilian,Mang,TE,Active,IND
2118,Eric,Ebron,TE,Inactive,PIT
6290,Scotty,Miller,WR,Active,PIT
13150,Darius,Cooper,WR,Active,PHI
11186,Carlos,Washington,RB,Active,ATL
11583,Jonathon,Brooks,RB,Active,CAR
5127,Kyle,Allen,QB,Active,DET
12497,Tory,Horton,WR,Active,SEA
12469,Dylan,Sampson,RB,Active,CLE
5285,Ross,Dwelley,TE,Active,DET
12933,Caden,Prieskorn,TE,Active,CLE
4274,David,Moore,WR,Inactive,CAR
13179,Ja'seem,Reed,WR,Active,CAR
8219,Jelani,Woods,TE,Active,NYJ
MIA,Miami,Dolphins,DEF,,MIA
7075,Charlie,Woerner,TE,Active,ATL
12502,Gunnar,Helm,TE,Active,TEN
7571,Rashod,Bateman,WR,Active,BAL
8783,Kendric,Pryor,WR,Active,CIN
