Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2022,787469620847190016,NCAA BIG EAST & CO.,8,456167283761344512,Claser,2,NORTHEAST,9,2,1674.0,1289.2
2022,787469620847190016,NCAA BIG EAST & CO.,9,802480422482206720,POLOONTOP,1,MIDEAST,4,7,1222.82,1366.64
2022,787469620847190016,NCAA BIG EAST & CO.,10,338858684358623232,Psyclone,1,MIDEAST,6,5,1356.64,1376.78
2022,787469620847190016,NCAA BIG EAST & CO.,11,456182244336201728,Ianiners,2,NORTHEAST,7,4,1523.1,1416.3
2022,787469620847190016,NCAA BIG EAST & CO.,12,64174089933570048,ryno,1,MIDEAST,5,6,1397.9,1429.56
2022,787469585417945088,NCAA OHIO VALLEY,1,571753677428977664,Mistafyer,2,Southern,5,6,1330.54,1495.36
2022,787469585417945088,NCAA OHIO VALLEY,2,601198801197260800,LMarkiewicz04,2,Southern,9,2,1841.9,1351.48
2022,787469585417945088,NCAA OHIO VALLEY,3,468944645166985216,srcav,2,Southern,5,6,1580.46,1446.1
2022,787469585417945088,NCAA OHIO VALLEY,4,472879969664495616,ethansherwood22,2,Southern,5,6,1306.12,1352.1
2022,787469585417945088,NCAA OHIO VALLEY,5,474662041341128704,Dreev,1,Yankee,7,4,1323.14,1262.74
2022,787469585417945088,NCAA OHIO VALLEY,6,331558449374593024,leathershoe4,2,Southern,8,3,1653.14,1437.0
2022,787469585417945088,NCAA OHIO VALLEY,7,635700695584043008,charlielol,1,Yankee,3,8,1252.28,1424.0
2022,787469585417945088,NCAA OHIO VALLEY,8,69768813763510272,ThongBonerstorm,1,Yankee,5,6,1306.26,1503.4
2022,787469585417945088,NCAA OHIO VALLEY,9,347683464398749696,AlabamaBobbyCue,1,Yankee,5,6,1348.14,1345.2
2022,787469585417945088,NCAA OHIO VALLEY,10,594242128851296256,kevinedge,1,Yankee,7,4,1364.46,1391.8
2022,787469585417945088,NCAA OHIO VALLEY,11,638193564806897664,Romantryert,1,Yankee,5,6,1583.9,1453.84
2022,787469585417945088,NCAA OHIO VALLEY,12,327689364916146176,McNaga,2,Southern,2,9,1056.68,1484.0
