Year,LeagueID,LeagueName,Week,TransactionID,Type,RosterIDs,OwnerIDs,Picks,Adds,Drops,Status,Created
2021,652823294856224768,NCAA PAC 12,1,732346178473140224,free_agent,[3],['470320542868566016'],[],,{'1408': 3},complete,1628967444583
2021,652823294856224768,NCAA PAC 12,1,732220334354366464,trade,"[2, 7]","['709857172258881536', '597246797479469056']","[{'round': 3, 'season': '2021', 'league_id': None, 'roster_id': 11, 'owner_id': 7, 'previous_owner_id': 2}]",{'5985': 2},{'5985': 7},complete,1628937441007
2021,652823294856224768,NCAA PAC 12,1,731833199986102272,trade,"[8, 9]","['449317906098941952', '519390092788297728']","[{'round': 3, 'season': '2021', 'league_id': None, 'roster_id': 4, 'owner_id': 8, 'previous_owner_id': 9}, {'round': 1, 'season': '2022', 'league_id': None, 'roster_id': 4, 'owner_id': 9, 'previous_owner_id': 8}, {'round': 2, 'season': '2022', 'league_id': None, 'roster_id': 4, 'owner_id': 9, 'previous_owner_id': 8}, {'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 9, 'owner_id': 8, 'previous_owner_id': 9}]",,,complete,1628845140981
2021,652823294856224768,NCAA PAC 12,1,731059356656869376,trade,"[4, 9]","['477666723663704064', '519390092788297728']","[{'round': 3, 'season': '2021', 'league_id': None, 'roster_id': 4, 'owner_id': 9, 'previous_owner_id': 4}, {'round': 4, 'season': '2022', 'league_id': None, 'roster_id': 4, 'owner_id': 9, 'previous_owner_id': 4}, {'round': 4, 'season': '2021', 'league_id': None, 'roster_id': 9, 'owner_id': 4, 'previous_owner_id': 9}, {'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 9, 'owner_id': 4, 'previous_owner_id': 9}]",{'2346': 4},{'2346': 9},complete,1628660642354
2021,652823294856224768,NCAA PAC 12,1,730779789618700288,free_agent,[4],['477666723663704064'],[],{'7103': 4},{'5570': 4},complete,1628593988378
2021,652823294856224768,NCAA PAC 12,1,730779052612415488,free_agent,[4],['477666723663704064'],[],{'4080': 4},{'4175': 4},complete,1628593812662
2021,652823294856224768,NCAA PAC 12,1,730777579996405760,free_agent,[4],['477666723663704064'],[],{'5133': 4},{'6557': 4},complete,1628593461563
2021,652823294856224768,NCAA PAC 12,1,730771476151685120,free_agent,[1],['437465313911500800'],[],,{'6063': 1},complete,1628592006293
2021,652823294856224768,NCAA PAC 12,1,730771394920570880,free_agent,[1],['437465313911500800'],[],,{'2291': 1},complete,1628591986926
2021,652823294856224768,NCAA PAC 12,1,730771329162285056,free_agent,[1],['437465313911500800'],[],,{'574': 1},complete,1628591971248
